uuid,input_text
a141860e-d716-397b-884c-5b62989ea053,"NOM: Sci Le Bambois | TYPES: RentalAccommodation, AccommodationProduct | DESC:"
99032678-595f-3379-8f18-6f2d4835f1dc,"NOM: Café-Théâtre L'Improviste | TYPES: SportsAndLeisurePlace, Theater | DESC: Plongez au cœur de l'humour et de l'émotion à Brive la Gaillarde ! Que vous soyez amateur de stand-up, de spectacles d'humour, d'improvisation ou de pièces de théâtre, vous trouverez votre bonheur dans notre programmation éclectique ! Rires et émotions garantis dans votre café-théâtre incontournable en Corrèze.  Des ateliers d'impro et de théâtre vous sont aussi proposés. Rejoignez-nous à L’IMPROVISTE pour une expérience culturelle riche et divertissante en compagnie d'artistes talentueux !"
222b3a6e-d275-37dc-bbf5-1beff425b248,"NOM: Compagnie des Guides des Aravis en Eté | TYPES: ActivityProvider | DESC: La Compagnie des Guides des Aravis vous accompagne toute l'année, pour organiser vos activités de montagne."
9bcdda2c-4456-3cef-bdbb-26c87a096bb9,"NOM: Station Service | TYPES: BoutiqueOrLocalShop | DESC: Station service 7/7, paiement par carte bleue."
5b46ce54-cf7c-3b17-ae3a-26fbe4405667,"NOM: Maison des patrimoines | TYPES: CulturalSite, InterpretationCentre | DESC: La Maison des Patrimoines à Auzat : un voyage à travers l'histoire et la richesse du patrimoine du Haut-Vicdessos."
3f707590-febd-335a-ab64-a369effbc5b3,"NOM: Escape Game | TYPES: EntertainmentAndEvent, Event, Game, SportsEvent | DESC: Pendant les vacances scolaires, profitez d’activités en famille !  ARTS PLASTIQUES -  Centre social 5,50€ - Dès 6 ans 15 places"
a9c067f8-ce4d-35da-80b3-d712e1297258,NOM: Gîte la Clavelière | TYPES: RentalAccommodation | DESC:
98672668-bd51-3bec-8e1d-6451b1f4e7c6,"NOM: CAFE BAR A LA CROIX DE LORRAINE | TYPES: FoodEstablishment, BarOrPub | DESC: M. Demange vous propose une sélection de boisson au bar. Boissons chaudes, froides. Terrasse très agréable en été. A proximité immédiate de la place de l'Eglise et du cimetière."
904c8690-b51f-3c54-9581-a7b8d2b7f40d,"NOM: Bessin Location | TYPES: BoutiqueOrLocalShop, EquipmentRentalShop | DESC: BESSIN LOCATION est spécialisée dans la location de véhicules de tourisme et utilitaires, courte, moyenne et longue durée. Loueur multimarque et multi-énergies, notre expertise métier nous permet de répondre avec efficacité à nos clients sociétés, entreprises, associations, artisans, commerçants, administrations et particuliers.  Voyagez en toute sérénité avec BESSIN LOCATION ! Les tarifs sont clairs, annoncés au départ et compétitifs. Nos chauffeurs sont expérimentés, ponctuels et discrets. Nos véhicules sont récents, confortables et entretenus régulièrement. Tout est réuni pour que votre voyage soit le plus agréable possible ! Vous disposez d’un véhicule qui vous est entièrement réservé, la prise en charge s’effectue à l’endroit de votre choix."
1c1a5432-828a-3c9e-aca1-df9f40f844ee,"NOM: Boulangerie épicerie Noël Dumas | TYPES: FoodEstablishment, BoutiqueOrLocalShop, LocalProductsShop, Bakery | DESC: La boulangerie Noël Dumas vous propose plusieurs variétés de pain, : bio,  sans sel, au levain, complet...  ainsi que des viennoiseries sans beurre.  Vous y trouverez aussi une belle épicerie de produits du terroir sélectionnés avec soin.  Un parking est à votre disposition et la livraison à domicile est proposée.  Le magasin est accessible aux personnes à mobilité réduite et ouvert du lundi au samedi de 8h à 19h30"
de4efaa0-bd1f-3133-90a8-74a124d6b7c6,"NOM: La boucle du dolmen | TYPES: Tour, OrderedList, WalkingTour | DESC:"
0f0026a1-b4f6-36d4-bbba-6f40ffa3bb80,NOM: Club de Vol à Voile Guil et Durance | TYPES: ActivityProvider | DESC: Le club le plus au Nord des Alpes du Sud ! Une jolie découverte de la région dans les air à bord d'un planeur !
400216a4-d99b-3d2e-8bcc-fb55762ea07d,"NOM: Tennis municipal | TYPES: SportsAndLeisurePlace, TennisComplex | DESC: Situé sur la commune de Mauléon-Licharre, non loin du château- fort et de la piscine municipale.  Le Tennis club souletin dispose de trois terrains municipaux extérieurs disponibles à tout moment.  Le club propose des cours de tennis dispensés par des éducateurs diplômés.  La carte d'entrée est à récupérer au magasin Roman Sports du mardi au samedi ou au bureau de tabacs Le Graffity's du lundi au dimanche matin à Mauléon."
73d8d72b-63e3-394c-bf3c-b3274918a27c,"NOM: HUIN Isabelle | TYPES: RentalAccommodation, AccommodationProduct | DESC: Gite en plein cœur du Morvan, idéal pour randonneurs pédestres, équestres, en vélo... proche de tous commerces au minimum à 8 km et maximum à 18 km."
d2e53a0f-2248-32e4-90da-c3c1ba2b4d2c,"NOM: Pierre Thevenoux - Lifecoach | TYPES: EntertainmentAndEvent, Event, CulturalEvent, ShowEvent, SportsEvent | DESC: Dans Life Coach, Pierre vous parlera des injonctions modernes du bien-être, du développement personnel et de la pression pour réussir, être en couple, faire des enfants, etc. Comme tout bon life coach qui se respecte, il vous donnera aussi plein de conseils pour réussir votre vie alors que la sienne est encore bien bancale."
5e51ea8b-4e53-3bc8-823f-c3838cb7885f,"NOM: Conférence sur le parcours de Vincent Vozel - Mois des mémoires | TYPES: EntertainmentAndEvent, Event, CulturalEvent | DESC: Conférence avec les enfants du centre jeunesse Julie Nodot et les enfants de Vincent Vozel et diffusion des capsules vidéos réalisées par les jeunes et l’Espace de Vie Sociale."
aa485f4b-9592-3232-8c89-9da19f4ac643,"NOM: Meublé - à Florival - studio n°8 | TYPES: RentalAccommodation | DESC: AIR DES VOSGES est désormais heureux de vous accueillir à FLORIVAL, au domaine des Grands Prés. Situé en pleine nature, Florival est idéal pour se ressourcer pendant votre séjour. Grands studios de 57 m² très lumineux, entièrement équipés, balcon avec vue sur la forêt. A pied, à vélo ou en voiture, les thermes sont à quelques minutes. Nouvelle décoration, nouveau style, c’est un nouvel air qui souffle sur Florival. Caroline et toute l’équipe d’Air des Vosges vous y attendent.  Entre la Gare et les Thermes, à 4 minutes en voiture."
81f414d7-c929-3075-b8e3-2be07175027e,NOM: Restaurant pizzeria Le Castellar | TYPES: FoodEstablishment | DESC: Restaurant pizzeria Le Castellar.
1419b06e-3aae-37ef-b965-c1603c75fc8a,"NOM: Brocante du Téléthon de l'Estuaire et Marché d'artisans d'art | TYPES: SaleEvent, EntertainmentAndEvent, Event, GarageSale, BricABrac | DESC: Brocante et marché d'artisans d'art ouverts aux particuliers et professionnels toute la journée sur le port de Mortagne."
d574bfce-aae2-3a2c-97cf-5f1ab5925fdc,"NOM: Café restaurant Flamm | TYPES: FoodEstablishment, Restaurant | DESC: Dans ce café d'époque à l'atmosphère authentique, la salle offre une quarantaine de couverts pour y savourer différentes flammekueches salées ou sucrées. Une carte présente les différentes suggestions du patron, mais d'autres flamm's peuvent être accommodées au goût du client.  Une terrasse agréable en été profite aux clients qui souhaitent finir leur repas sur une bonne glace de Ritzing ou prendre un petit vin AOC Moselle en apéritif  !"
6d6f153a-9d29-348c-b8ff-3026d646b07d,"NOM: A l'assaut du Mont Pinçon | TYPES: Tour, OrderedList, CyclingTour | DESC: Boucle VTT à la découverte du Mont Pinçon, point culminant du Calvados, et de la fôret de Valcongrain."
